FromCRS,ToCRS,TravelTime,TSys
CHN,BRX,52.85757576,PuT-Aux
CLW,BRX,69.39698582,PuT-Aux
CTK,BRX,36.62148033,PuT-Aux
CLJ,BRX,25.95640301,PuT-Aux
CPT,BRX,44.24927536,PuT-Aux
CYP,BRX,45.92793427,PuT-Aux
DMK,BRX,30.68730159,PuT-Aux
EAL,BRX,41.58166667,PuT-Aux
EDR,BRX,39.24594595,PuT-Aux
EPH,BRX,14.87884615,PuT-Aux
ZFD,BRX,27.84677138,PuT-Aux
FPK,BRX,25.90209177,PuT-Aux
FOH,BRX,52.9546875,PuT-Aux
GFD,BRX,46.40690236,PuT-Aux
GNW,BRX,44.21825397,PuT-Aux
HKC,BRX,35.40416667,PuT-Aux
HRY,BRX,44.89145299,PuT-Aux
HRW,BRX,48.20350877,PuT-Aux
HOH,BRX,47.97024266,PuT-Aux
HTE,BRX,62.30229358,PuT-Aux
HDL,BRX,60.38800623,PuT-Aux
HHY,BRX,24.83701473,PuT-Aux
HPA,BRX,51.2173516,PuT-Aux
IMW,BRX,30.22380952,PuT-Aux
KPA,BRX,28.78712121,PuT-Aux
KTN,BRX,27.41207165,PuT-Aux
KBN,BRX,36.88101852,PuT-Aux
LEW,BRX,42.35014306,PuT-Aux
LHS,BRX,27.76942446,PuT-Aux
BFR,BRX,23.56387632,PuT-Aux
LBG,BRX,18.91621129,PuT-Aux
CST,BRX,25.71339114,PuT-Aux
CHX,BRX,24.22467949,PuT-Aux
EUS,BRX,22.87224462,PuT-Aux
FST,BRX,46.60714286,PuT-Aux
LOF,BRX,42.53804348,PuT-Aux
KGX,BRX,35.01470588,PuT-Aux
LST,BRX,26.73854015,PuT-Aux
MYB,BRX,23.68908046,PuT-Aux
PAD,BRX,25.59868421,PuT-Aux
STP,BRX,36.2,PuT-Aux
VIC,BRX,13.01866667,PuT-Aux
WAT,BRX,25.07934783,PuT-Aux
WAE,BRX,36.69084406,PuT-Aux
MOG,BRX,25.69164179,PuT-Aux
NXG,BRX,44.78744292,PuT-Aux
NWD,BRX,51.58305785,PuT-Aux
